geoid,race_white,race_black,race_indian,race_asian,race_pacific,race_some_other,race_two_or_more,race_hispanic,race_white_not_hispanic,race_source_abbreviation,link_to_detailed_sourcing
010010202002008,98,80,0,0,0,3,0,31,71,tract,http://www.prisonersofthecensus.org/data/2010blocks/010010202002008/
010030105001039,294,190,0,1,0,1,0,4,292,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010030105001039/
010030108001027,26,11,1,0,0,0,0,0,26,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010030108001027/
010030112012050,7,10,0,0,0,0,0,0,7,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010030112012050/
010030114073034,2,2,0,0,0,0,0,0,2,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010030114073034/
010030109033013,204,300,1,0,0,0,0,1,203,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010030109033013/
010059502002082,659,966,0,0,0,0,1,6,653,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010059502002082/
010059502002091,55,43,0,0,0,0,0,0,55,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010059502002091/
010059504002044,496,785,0,0,0,0,39,17,492,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010059504002044/
010070100044013,642,1357,0,0,0,2,6,54,595,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010070100044013/
010090501011039,122,6,0,0,0,1,0,5,118,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010090501011039/
010119522003043,0,1,0,0,0,0,0,0,0,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010119522003043/
010119522003076,0,32,0,0,0,0,0,0,0,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010119522003076/
010119522001066,607,882,0,0,0,0,6,4,605,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010119522001066/
010139531001000,10,27,0,0,0,0,1,0,10,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010139531001000/
010150006001058,242,162,0,5,0,0,0,14,228,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010150006001058/
010150008001014,20,30,0,0,0,0,0,0,20,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010150008001014/
010150012012050,6,2,0,0,0,0,0,0,6,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010150012012050/
010150022003003,2,0,0,0,0,0,0,0,2,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010150022003003/
010179540004002,75,62,0,0,0,0,0,1,74,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010179540004002/
010199560002036,71,9,0,0,0,0,0,0,71,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010199560002036/
010210601014007,119,51,0,0,0,1,0,44,83,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010210601014007/
010239568003028,11,22,1,0,0,0,0,0,11,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010239568003028/
010239567002006,2,0,0,0,0,0,0,0,2,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010239567002006/
010259578006003,57,41,0,0,0,0,2,0,57,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010259578006003/
010279590003007,51,24,0,0,0,1,0,3,49,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010279590003007/
010299596003003,80,9,0,0,0,1,1,5,76,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010299596003003/
010310105001002,101,138,1,0,0,0,1,2,100,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010310105001002/
010330205003033,47,30,0,0,0,0,0,14,45,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010330205003033/
010359605002020,26,19,0,0,0,0,0,0,26,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010359605002020/
010379612001019,40,40,0,0,0,0,0,1,39,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010379612001019/
010399621002029,114,58,0,0,0,0,0,1,113,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010399621002029/
010439650003020,204,14,0,0,0,9,1,13,199,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010439650003020/
010439649002022,44,0,0,0,0,14,1,27,32,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010439649002022/
010439654022063,3,0,0,0,0,0,0,0,3,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010439654022063/
010450211022010,5,4,0,0,0,0,0,0,5,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010450211022010/
010450207004001,30,33,0,0,0,0,0,3,27,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010450207004001/
010499609003022,179,19,0,0,0,0,0,16,163,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010499609003022/
010499611001081,2,0,0,0,0,0,0,0,2,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010499611001081/
010499614001064,3,0,0,0,0,0,1,0,3,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010499614001064/
010510301004084,962,382,0,0,0,0,32,163,799,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010510301004084/
010510301004090,765,1621,0,1,0,2,10,8,763,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010510301004090/
010510309011013,100,199,0,0,0,0,0,0,100,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010510309011013/
010510306001015,385,306,8,1,0,0,11,15,377,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010510306001015/
010510306002079,139,96,1,0,0,0,4,2,138,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010510306002079/
010539702002036,84,79,0,0,0,0,0,6,78,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010539702002036/
010539704002037,642,1200,13,3,0,1,31,20,631,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010539704002037/
010539704002044,289,705,0,2,0,0,2,3,288,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010539704002044/
010550012001012,434,268,4,25,1,29,23,68,401,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010550012001012/
010570202004031,10,0,0,0,0,0,0,0,10,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010570202004031/
010570203001064,37,13,0,0,0,0,2,1,37,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010570203001064/
010599730003020,8,2,0,0,0,0,0,1,7,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010599730003020/
010599733002027,53,19,0,3,0,2,1,13,42,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010599733002027/
010610503003016,34,19,0,0,0,0,0,3,32,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010610503003016/
010650404001002,37,25,0,0,0,0,2,1,36,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010650404001002/
010650404005050,47,56,0,0,0,0,0,0,47,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010650404005050/
010670302001069,26,29,0,0,0,0,0,1,25,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010670302001069/
010690406001029,32,59,0,0,0,0,0,0,32,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010690406001029/
010690406001035,50,63,0,0,0,0,1,1,49,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010690406001035/
010690414002049,156,192,0,0,0,0,0,8,148,tract,http://www.prisonersofthecensus.org/data/2010blocks/010690414002049/
010719508004015,118,9,2,0,0,1,0,3,116,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010719508004015/
010719508004064,16,1,0,0,0,2,1,1,16,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010719508004064/
010730102002154,17,30,0,0,0,0,0,1,16,tract,http://www.prisonersofthecensus.org/data/2010blocks/010730102002154/
