Bureau of Justice Statistics,,,,,,,,,
File name: cpus16at02.csv,,,,,,,,,
"Appendix table 2. Number of persons incarcerated by other adult correctional systems, 2000, 2010, and 2015–2016",,,,,,,,,
"Report title: Correctional Populations in the United States, 2016   NCJ 251211",,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Probation Survey, Annual Parole Survey, Annual Survey of Jails, and National Prisoner Statistics program, 2006–2016.",,,,,,,,,
"Author: Danielle Kaeble and Mary Cowhig, BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,
Date of version: 4/26/2018,,,,,,,,,
,,,,,,,,,
"Appendix table 2. Number of persons incarcerated by other adult correctional systems, 2000, 2010, and 2015–2016",,,,,,,,,
,,Number of persons ,,,,,,,
Other adult correctional systems,,2000,2010,2015,2016,"Average annual change, 2000–2015",,"Percent change, 2015–2016",
,Total,"20,400","17,600","16,800","16,100",-1.5,%,-4,%
Territorial prisons/a,,"16,200","13,800","12,900","12,300",-1.7,,-5,
Military facilties/b,,"2,400","1,400","1,400","1,300",-3.7,,-4.3,
Jails in Indian country/c,,"1,800","2,400","2,510","2,540",2.2,,1.2,
"Note: Estimates are rounded to the nearest 100 and are for December 31. Total excludes persons held in local jails, under the jurisdiction of state or federal prisons, in U.S. Immigration and Customs Enforcement facilities, or held in juvenile facilities.",,,,,,,,,
"a/The 2015 and 2016 totals include population counts that were estimated for some territories due to nonresponse. See Prisoners in 2016 (NCJ 251149, BJS web, January 2018) for detailed statistics of this population. ",,,,,,,,,
"b/See Prisoners in 2016 (NCJ 251149, BJS web, January 2018) for detailed statistics of this population. ",,,,,,,,,
"c/Population counts are for the last weekday in June of each year. See Jails in Indian Country, 2016 (NCJ 250981, BJS web, December 2017) for detailed statistics of this population.",,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program and Survey of Jails in Indian Country, 2000, 2010, and 2015–2016.",,,,,,,,,
