Bureau of Justice Statistics,,,,,,,,,,
File name: cpus16at03.csv,,,,,,,,,,
"Appendix table 3. Persons held in custody in state or federal prisons or in local jails, 2000, 2010, and 2015–2016",,,,,,,,,,
"Report title: Correctional Populations in the United States, 2016   NCJ 251211",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Probation Survey, Annual Parole Survey, Annual Survey of Jails, and National Prisoner Statistics program, 2006–2016.",,,,,,,,,,
"Author: Danielle Kaeble and Mary Cowhig, BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,
Date of version: 4/26/2018,,,,,,,,,,
,,,,,,,,,,
"Appendix table 3. Persons held in custody in state or federal prisons or in local jails, 2000, 2010, and 2015–2016",,,,,,,,,,
,,,Number,,,,,,,
Persons in custody,,,2000,2010,2015,2016,"Average annual change, 2000–2015",,"Percent change, 2015–2016",
,Total,,"1,938,500","1,517,800","2,166,600","2,157,800",0.7,%,-0.4,%
Federal prisoners/a,,,"140,100","207,000","195,600","188,300",1.8,%,-3.7,%
,Prisons,,"133,900","198,300","186,500","179,100",1.8,,-4,
,,Federal facilities,"124,500","173,100","160,700","154,200",1.3,,-4,
,,Privately operated facilities,"9,400","25,200","25,800","24,900",6.1,,-3.5,
,Community corrections centers/b,,"6,100","8,600","9,200","9,200",2.6,,0,
State prisoners,,,"1,177,200","1,310,800","1,243,500","1,228,800",0.3,%,-1.2,%
,State facilities/c,,"1,101,200","1,216,700","1,152,200","1,134,700",0.2,,-1.5,
,Privately operated facilities,,"76,100","94,100","91,300","94,200",1.3,,3.2,
Local jails,,,"621,100**","748,700","727,400","740,700*",1.1,%,1.8,%
Incarceration rate/d,,,690,700,680,670,-0.2,%,-1.5,%
,Adult incarceration rate/e,,920,910,870,860,-0.4,,-1.1,
"Note: Estimates may not be comparable to previously published BJS reports due to updated information. Counts are rounded to the nearest 100 and include estimates for nonresponding jurisdictions. See Methodology. Rates are rounded to the nearest 10. Detail may not to sum to total due to rounding. Prison counts are for December 31, and jail counts are for the last weekday in June. Total includes all persons held in local jails, state or federal prisons, or privately operated facilities. Excludes persons held in U.S. territories (appendix table 2), military facilities (appendix table 2), U.S. Immigration and Customs Enforcement facilities, jails in Indian country (appendix table 2), or juvenile facilities. See Methodology for sources of incarceration data and Terms and definitions for an explanation of the differences between the custody prison population reported in this table and jurisdiction prison population reported in all other tables and figures of this report.",,,,,,,,,,
*Comparison year.,,,,,,,,,,
**Difference from comparison year is significant at the 95% confidence level.,,,,,,,,,,
"a/After 2001, responsibility for sentenced prisoners from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,,,
"b/Nonsecure, privately operated community corrections centers. ",,,,,,,,,,
"c/Excludes prisoners held in local jails in Georgia for 2010, 2015, and 2016 to avoid double counting.",,,,,,,,,,
"d/Total number in the custody of local jails, state or federal prisons, or privately operated facilities within the year per 100,000 U.S. residents of all ages. ",,,,,,,,,,
"e/Total number in custody per 100,000 U.S. residents age 18 or older. ",,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails and National Prisoner Statistics program, 2000, 2010, and 2015–2016; and U.S. Census Bureau, postcensal estimated resident populations for January 1 of the following year, 2001, 2011, 2016, and 2017. ",,,,,,,,,,
