Bureau of Justice Statistics,,,,,,,,
File name: cpus16t02.csv,,,,,,,,
"Table 2. Number of persons supervised by U.S. adult correctional systems, by correctional status, 2007 and 2016",,,,,,,,
"Report title: Correctional Populations in the United States, 2016   NCJ 251211",,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Probation Survey, Annual Parole Survey, Annual Survey of Jails, and National Prisoner Statistics program, 2006–2016.",,,,,,,,
"Author: Danielle Kaeble and Mary Cowhig, BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,
Date of version: 4/26/2018,,,,,,,,
 ,,,,,,,,
"Table 2. Number of persons supervised by U.S. adult correctional systems, by correctional status, 2007 and 2016",,,,,,,,
,,,2007,,,2016,,
Correctional population,,Population,Percent of total population,,,Population,Percent of total population,
,Total/a,"7,339,600",100,%,,"6,613,500",100,%
Probation/b,,"4,293,000",58.5,,,"3,673,100",55.5,
Prison/b,,"1,596,800",21.8,,,"1,505,400",22.8,
Parole/b,,"826,100",11.3,,,"874,800",13.2,
Local jail/c,,"780,200",10.6,,,"740,700",11.2,
Offenders with dual correctional statuses/d,,"156,400",:,,,"180,500",:,
Note: Counts are rounded to the nearest 100 and include estimates for nonresponding jurisdictions. Detail may not sum to total due to rounding and because offenders with dual correctional statuses were excluded from the total correctional population. See Methodology. ,,,,,,,,
: Not calculated.,,,,,,,,
"a/To avoid double counting, the total represents the combined probation, prison, parole, and jail counts minus those who have dual correctional statuses. See Methodology. ",,,,,,,,
b/Population as of December 31. ,,,,,,,,
c/Population as of the last weekday in June.,,,,,,,,
"d/Some probationers and parolees on December 31 were held in a prison or jail but still remained under the jurisdiction of a probation or parole agency, and some parolees were also on probation. In addition, some prisoners were being held in jail. See table 5 and Methodology.",,,,,,,,
"Source: Bureau of Justice Statistics, Annual Probation Survey, Annual Parole Survey, Annual Survey of Jails, and National Prisoner Statistics program, 2007 and 2016.",,,,,,,,
