GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012
0100000US,,United States,308745538,308747508,309326225,311587816,313914040
0400000US01,01,Alabama,4779736,4779745,4784762,4803689,4822023
0400000US02,02,Alaska,710231,710231,714046,723860,731449
0400000US04,04,Arizona,6392017,6392015,6410810,6467315,6553255
0400000US05,05,Arkansas,2915918,2915919,2922750,2938582,2949131
0400000US06,06,California,37253956,37253956,37334410,37683933,38041430
0400000US08,08,Colorado,5029196,5029196,5048472,5116302,5187582
0400000US09,09,Connecticut,3574097,3574097,3576616,3586717,3590347
0400000US10,10,Delaware,897934,897934,899824,908137,917092
0400000US11,11,District of Columbia,601723,601723,604989,619020,632323
0400000US12,12,Florida,18801310,18802690,18845967,19082262,19317568
0400000US13,13,Georgia,9687653,9687663,9714748,9812460,9919945
0400000US15,15,Hawaii,1360301,1360301,1364274,1378129,1392313
0400000US16,16,Idaho,1567582,1567652,1570784,1583744,1595728
0400000US17,17,Illinois,12830632,12830632,12840459,12859752,12875255
0400000US18,18,Indiana,6483802,6483800,6489856,6516353,6537334
0400000US19,19,Iowa,3046355,3046857,3050321,3064097,3074186
0400000US20,20,Kansas,2853118,2853116,2858837,2870386,2885905
0400000US21,21,Kentucky,4339367,4339357,4346655,4366814,4380415
0400000US22,22,Louisiana,4533372,4533372,4544125,4574766,4601893
0400000US23,23,Maine,1328361,1328361,1327585,1328544,1329192
0400000US24,24,Maryland,5773552,5773552,5787998,5839572,5884563
0400000US25,25,Massachusetts,6547629,6547629,6563259,6607003,6646144
0400000US26,26,Michigan,9883640,9883635,9877670,9876801,9883360
0400000US27,27,Minnesota,5303925,5303925,5310737,5347299,5379139
0400000US28,28,Mississippi,2967297,2967299,2969137,2977457,2984926
0400000US29,29,Missouri,5988927,5988924,5996092,6008984,6021988
0400000US30,30,Montana,989415,989417,990735,997667,1005141
0400000US31,31,Nebraska,1826341,1826341,1829696,1842234,1855525
0400000US32,32,Nevada,2700551,2700552,2703758,2720028,2758931
0400000US33,33,New Hampshire,1316470,1316469,1316843,1317807,1320718
0400000US34,34,New Jersey,8791894,8791898,8803388,8834773,8864590
0400000US35,35,New Mexico,2059179,2059180,2064767,2078674,2085538
0400000US36,36,New York,19378102,19378104,19399242,19501616,19570261
0400000US37,37,North Carolina,9535483,9535471,9559048,9651103,9752073
0400000US38,38,North Dakota,672591,672591,674363,684740,699628
0400000US39,39,Ohio,11536504,11536502,11538290,11541007,11544225
0400000US40,40,Oklahoma,3751351,3751354,3759482,3784163,3814820
0400000US41,41,Oregon,3831074,3831073,3838212,3868229,3899353
0400000US42,42,Pennsylvania,12702379,12702379,12711308,12743948,12763536
0400000US44,44,Rhode Island,1052567,1052567,1052769,1050646,1050292
0400000US45,45,South Carolina,4625364,4625364,4635835,4673348,4723723
0400000US46,46,South Dakota,814180,814180,816223,823593,833354
0400000US47,47,Tennessee,6346105,6346113,6356673,6399787,6456243
0400000US48,48,Texas,25145561,25145561,25242683,25631778,26059203
0400000US49,49,Utah,2763885,2763885,2775093,2814347,2855287
0400000US50,50,Vermont,625741,625741,625916,626592,626011
0400000US51,51,Virginia,8001024,8001031,8025105,8104384,8185867
0400000US53,53,Washington,6724540,6724543,6743636,6823267,6897012
0400000US54,54,West Virginia,1852994,1852999,1854019,1854908,1855413
0400000US55,55,Wisconsin,5686986,5686986,5689591,5709843,5726398
0400000US56,56,Wyoming,563626,563626,564367,567356,576412
0400000US72,72,Puerto Rico,3725789,3725789,3721208,3694093,3667084
